L3 PC,L3 POS
10.167.126.99,10.167.126.100
10.167.127.99,10.167.127.100
10.167.144.99,10.167.144.100
10.167.128.99,10.167.128.100
10.167.129.99,10.167.129.100
10.167.130.99,10.167.130.100
10.167.131.99,10.167.131.100
10.167.132.99,10.167.132.100
10.167.133.99,10.167.133.100
10.167.134.99,10.167.134.100
10.167.135.99,10.167.135.100
10.167.136.99,10.167.136.100
10.167.137.99,10.167.137.100
10.167.138.99,10.167.138.100
10.167.139.99,10.167.139.100
10.167.140.99,10.167.140.100
10.167.141.99,10.167.141.100
10.167.142.99,10.167.142.100
10.167.143.99,10.167.143.100
10.167.145.99,10.167.145.100
10.167.146.99,10.167.146.100
10.167.147.99,10.167.147.100
10.167.149.99,10.167.149.100
10.167.148.99,10.167.148.100
10.167.150.99,10.167.150.100
10.188.121.99,10.188.121.100
10.188.122.99,10.188.122.100
10.188.123.99,10.188.123.100
10.188.124.99,10.188.124.100
10.188.125.99,10.188.125.100
10.188.126.99,10.188.126.100
10.188.127.99,10.188.127.100
10.188.129.99,10.188.129.100
10.188.130.99,10.188.130.100
10.188.132.99,10.188.132.100
10.188.133.99,10.188.133.100
10.167.101.99,10.167.101.100
10.167.103.99,10.167.103.100
10.167.104.99,10.167.104.100
10.167.105.99,10.167.105.100
10.167.106.99,10.167.106.100
10.167.107.99,10.167.107.100
10.167.108.99,10.167.108.100
10.167.109.99,10.167.109.100
10.167.110.99,10.167.110.100
10.167.113.99,10.167.113.100
10.167.120.99,10.167.120.100
10.167.121.99,10.167.121.100
